apt_id,ttp_id
APT39,T1074.001
APT39,T1078
APT39,T1083
APT39,T1090.001
APT39,T1090.002
APT39,T1102.002
APT39,T1105
APT39,T1110
APT39,T1113
APT39,T1115
APT39,T1135
APT39,T1136.001
APT39,T1140
APT39,T1190
APT39,T1197
APT39,T1204.001
APT39,T1204.002
APT39,T1505.003
APT39,T1546.010
APT39,T1547.001
APT39,T1547.009
APT39,T1553.006
APT39,T1555
APT39,T1560.001
APT39,T1566.001
APT39,T1566.002
APT39,T1569.002
APT39,T1588.002
APT41,T1003.001
APT41,T1003.002
APT41,T1003.003
APT41,T1005
APT41,T1008
APT41,T1012
APT41,T1014
APT41,T1016
APT41,T1018
APT41,T1021.001
APT41,T1021.002
APT41,T1027
APT41,T1027.002
APT41,T1030
APT41,T1033
APT41,T1036.004
APT41,T1036.005
APT41,T1037
APT41,T1046
APT41,T1047
APT41,T1049
APT41,T1053.005
APT41,T1055
APT41,T1056.001
APT41,T1059.001
APT41,T1059.003
APT41,T1059.004
APT41,T1069
APT41,T1070.001
APT41,T1070.003
APT41,T1070.004
APT41,T1071.001
APT41,T1071.002
APT41,T1071.004
APT41,T1078
APT41,T1082
APT41,T1083
APT41,T1087.001
APT41,T1087.002
APT41,T1090
APT41,T1098.007
APT41,T1102.001
APT41,T1104
APT41,T1105
APT41,T1110
APT41,T1112
APT41,T1133
APT41,T1135
APT41,T1136.001
APT41,T1190
APT41,T1195.002
APT41,T1197
APT41,T1203
APT41,T1213.003
APT41,T1218.001
APT41,T1218.011
APT41,T1480.001
APT41,T1484.001
APT41,T1486
APT41,T1496.001
APT41,T1542.003
APT41,T1543.003
APT41,T1546.008
APT41,T1547.001
APT41,T1550.002
APT41,T1553.002
APT41,T1555
APT41,T1555.003
APT41,T1560.001
APT41,T1562.006
APT41,T1566.001
APT41,T1568.002
APT41,T1569.002
APT41,T1570
APT41,T1574.001
APT41,T1574.006
APT41,T1588.002
APT41,T1595.002
APT41,T1595.003
APT41,T1596.005
APT41,T1599
APT41,T1656
APT42,T1016
APT42,T1036.005
APT42,T1047
APT42,T1053.005
APT42,T1056
APT42,T1056.001
APT42,T1059.001
APT42,T1059.005
APT42,T1070
APT42,T1070.008
APT42,T1071.001
APT42,T1082
APT42,T1087.001
APT42,T1102
APT42,T1111
APT42,T1112
APT42,T1113
APT42,T1132.001
APT42,T1518.001
APT42,T1530
APT42,T1539
APT42,T1547
APT42,T1555.003
APT42,T1566.002
APT42,T1573.002
APT42,T1583.001
APT42,T1583.003
APT42,T1585.002
APT42,T1588.002
APT42,T1608.001
APT42,T1656
APT5,T1003.001
APT5,T1003.002
APT5,T1021.001
APT5,T1021.004
APT5,T1036.005
APT5,T1049
APT5,T1053.003
APT5,T1055
APT5,T1056.001
APT5,T1057
APT5,T1059.001
APT5,T1059.003
APT5,T1070
APT5,T1070.003
APT5,T1070.004
APT5,T1070.006
APT5,T1074.001
APT5,T1078.002
APT5,T1078.004
APT5,T1083
APT5,T1098.007
APT5,T1136.001
APT5,T1190
APT5,T1505.003
APT5,T1554
APT5,T1560.001
APT5,T1562.006
APT5,T1583.005
APT5,T1654
Agrius,T1003.001
Agrius,T1003.002
Agrius,T1005
Agrius,T1018
Agrius,T1021.001
Agrius,T1036
Agrius,T1041
Agrius,T1046
Agrius,T1059.003
Agrius,T1074.001
Agrius,T1078.002
Agrius,T1110
Agrius,T1110.003
Agrius,T1119
Agrius,T1140
Agrius,T1190
Agrius,T1505.003
Agrius,T1543.003
Agrius,T1560.001
Agrius,T1562.001
Agrius,T1570
Agrius,T1583
Ajax Security Team,T1056.001
Ajax Security Team,T1105
Ajax Security Team,T1204.002
Ajax Security Team,T1555.003
Ajax Security Team,T1566.001
Ajax Security Team,T1566.003
Akira,T1018
Akira,T1021.001
Akira,T1027.001
Akira,T1036.005
Akira,T1059.001
Akira,T1078
Akira,T1133
Akira,T1213.002
Akira,T1219
Akira,T1482
Akira,T1486
Akira,T1531
Akira,T1558
Akira,T1560.001
Akira,T1562.001
Akira,T1567.002
Akira,T1657
Andariel,T1005
Andariel,T1027.003
Andariel,T1049
Andariel,T1057
Andariel,T1105
Andariel,T1189
Andariel,T1203
Andariel,T1204.002
Andariel,T1566.001
Andariel,T1588.001
Andariel,T1590.005
Andariel,T1592.002
Aoqin Dragon,T1027.002
Aoqin Dragon,T1036
Aoqin Dragon,T1083
Aoqin Dragon,T1091
Aoqin Dragon,T1203
Aoqin Dragon,T1204.002
Aoqin Dragon,T1570
Aoqin Dragon,T1587.001
Aoqin Dragon,T1588.002
Aquatic Panda,T1003.001
Aquatic Panda,T1005
Aquatic Panda,T1007
Aquatic Panda,T1021
Aquatic Panda,T1021.001
Aquatic Panda,T1021.002
Aquatic Panda,T1021.004
Aquatic Panda,T1027.010
Aquatic Panda,T1033
Aquatic Panda,T1036.004
Aquatic Panda,T1036.005
Aquatic Panda,T1047
Aquatic Panda,T1059.001
Aquatic Panda,T1059.003
Aquatic Panda,T1059.004
Aquatic Panda,T1070.001
Aquatic Panda,T1070.003
Aquatic Panda,T1070.004
Aquatic Panda,T1078.002
Aquatic Panda,T1082
Aquatic Panda,T1087
Aquatic Panda,T1105
Aquatic Panda,T1112
Aquatic Panda,T1218.011
Aquatic Panda,T1518.001
Aquatic Panda,T1543.003
Aquatic Panda,T1550.002
Aquatic Panda,T1560.001
Aquatic Panda,T1562.001
Aquatic Panda,T1574.001
Aquatic Panda,T1574.006
Aquatic Panda,T1588.001
Aquatic Panda,T1588.002
Aquatic Panda,T1595.002
Aquatic Panda,T1654
Axiom,T1001.002
Axiom,T1003
Axiom,T1005
Axiom,T1021.001
Axiom,T1078
Axiom,T1189
Axiom,T1190
Axiom,T1203
Axiom,T1546.008
Axiom,T1553
Axiom,T1560
Axiom,T1563.002
Axiom,T1566
Axiom,T1583.002
Axiom,T1583.003
Axiom,T1584.005
BITTER,T1027.013
BITTER,T1036.004
BITTER,T1053.005
BITTER,T1068
BITTER,T1071.001
BITTER,T1095
BITTER,T1105
BITTER,T1203
BITTER,T1204.002
BITTER,T1559.002
BITTER,T1566.001
BITTER,T1568
BITTER,T1573
BITTER,T1583.001
BITTER,T1588.002
BITTER,T1608.001
BRONZE BUTLER,T1003.001
BRONZE BUTLER,T1005
BRONZE BUTLER,T1007
BRONZE BUTLER,T1018
BRONZE BUTLER,T1027.001
BRONZE BUTLER,T1027.003
BRONZE BUTLER,T1036
BRONZE BUTLER,T1036.002
BRONZE BUTLER,T1036.005
BRONZE BUTLER,T1039
BRONZE BUTLER,T1053.002
BRONZE BUTLER,T1053.005
BRONZE BUTLER,T1059.001
BRONZE BUTLER,T1059.003
